Airdrop_Amount,Wallet_Address
590318,0x3a65ec820722905d65262b0a8feb7359bc1e7516
590318,0x1a1e7e1f8078e445551779a3852cc756a8c5f9f7
590318,0x3a280c60ab0a6864ed321cf1acfdfa83b38f3357
590318,0xcd12c40b29aef442739e6038a2275fd2baa99c13
590318,0x0bff6544ace82a93e36cdb65a8e31a3bbc13fb9f
590318,0xcb20d9553e6b9a18cf79b201717ca0cb9ac15bde
590318,0x39a04dd9e4ffdaecfeef5b1015b48e5c1e145445
590318,0xcfd50302017be12b2c628bf4a2435f881d694f04
590318,0xcf10b967a9e422753812004cd59990f62e360760
590318,0xce4ab0f5209f6db8aaebd0cb8fddb0ad38c87562
590318,0xcc9286b2412d626c32a6d440bec8c667d57fd9f9
590318,0xcc202930867769a83b61cf5053b65d1845e76aea
590318,0xcac1f1c3e4599e044dc2a9d38a9b6ef1af1bdae8
590318,0xc9f0ac63940e3f956957faa99613930ce11755b8
590318,0xc97fec575bac5787388e9ec2192ece3c28985be8
590318,0x71a0496f59c0e2bb91e48bedd97dc233fe76319f
590318,0x39597e64a5ca28bbe86f95d44ced164a059c7c17
590318,0x3955da5e76a48c0b38ed7828484223ae83a0e623
590318,0xc92447312820f846864804c89df633d128c339dc
590318,0xc916838b93a408edb8d0c35a3df1a8ecf5f075f3
590318,0x394c82976a57c4309138c072149ee57aea16560b
590318,0xc8b05ce83e33524792f720c947c46cbf6bc279fb
590318,0xc8bcb5f593d21da6b7440bf96b81ccd6f2688f94
590318,0x393f09d5f02a36d76e9affae63e87d78f4abc6ca
590318,0xc846d8f429b4ab493de5a02bfa692751c1a54b9d
590318,0xc83629d6a24851b7b90a2fa7f63a762dfe1021bc
590318,0x1f1bd54ecae5f400bddba27bf079ed44f181df4a
590318,0x1f02c57e5e541058c5e02e6ec507e877565fb2c4
590318,0xc7ccb730c6cbc46529f7f5efad113faf1be5f05e
590318,0x70cc711c52d00d7229b89271e885b1716903c649
590318,0xc6f7e0d3eb2f90c5ebebf0f0ebe579f4fb9fc540
590318,0xc6ca2d4e5da5f043fd883fd33bf5e36a45bceef1
590318,0xc69f8c787b8da8637ceba24d4986fb4489410d2d
590318,0xc6571c2fb66825f13b7751b1c334810d397618eb
590318,0xc62d510aa565350e142e637a6f7fafc06af4c24a
590318,0xc60e5a48dc970266377eeada3da7f0d6ca292c48
590318,0xc5d019e457d9a45fd10a5e8a3edeea2bdc2014cd
590318,0x1e9edac80d38f1665f2e05b55fb455f44e4237bc
590318,0x1e99d1512f1ce0674c448d55a3eb7c83405ce8d2
590318,0xc55523fa0311e6dca26e39f7e423669333eded17
590318,0xc495f71f81fbab03116d838103273918d0ad5b24
590318,0x389a0ba726b0b93a5ae9d11f09e3a0386adab081
590318,0xc35703debd9dde4bf435862a0df0e1c6f55085df
590318,0x0b23c71c37350be486096c8d6f55c8c765565f4b
590318,0xc27ab0e73cd7b478587c2c02a50407667ae67c5e
590318,0xc1cb4efb797b953a7ea303e8f9110cc7c9b232a4
590318,0xc19be75b8b9152d884987e1b58b3f18a94875396
590318,0xde9e3efd4483a1cf9e5e25436fee5a4d20706dee
590318,0x77bb41b3a80982e19daae2cfe94403afcc613489
590318,0x3fce7fe5fbc148bebd7f4877588fbf1c0fb31850
590318,0x1c54158467e1f594171e18741d7ed319112d59f3
590318,0xdacc0fd851ac2e8969f4942b2bcfe17c8d685222
590318,0x3fa2b28ddef0970ba98870e2147053f1b3349479
590318,0xda09e09992ee22c74dfa4cfe9a6b8c7dda7816cb
590318,0x06d4b89475a53111e8939b1ae8af7e14804a5186
590318,0xd744c26a56fbdaf64f69f6b62db46596479e1364
590318,0x3d6c958567fb539db77326c15fe63ae3dd9ffd8a
590318,0x73efa2ad6ceaea5330cf8ad558890d77c299c759
590318,0xda7f5e14bbb16655b300af7ad178c61a6d6f9e60
590318,0x1fd7f37282205e4f34a9f5ecfe5ed55690627b59
590318,0x74a2ad07d0b9be77768eacd1071a297e4a0845cc
590318,0x752dc6bd7c3930dcbb3779f896db856253cb39c1
590318,0x762f7c8a4f41990aab6cdedf3b29398cb9d28e20
590318,0xd7f4201fac0cbb326f82df554040a2f25c390c34
590318,0x40534e513df8277870b81e97b5107b3f39de4f15
590318,0x6fe18b15e7ac6d43b30a7eab2f75c31d51dc41aa
590318,0x3caeac7ff83b19f4d14c02cda879c4740b4f0378
590318,0x1d8e86079c7d63b46650c8564c3e19150cdd17fe
590318,0x0dfdd261b35d3270ddd13c77fd677ccba9b91514
590318,0xf581ebf274a3fb62165065c42bbe81eafb9fef7c
590318,0x3e4fedca9cd0b1e3c9ec994fd9b12b61b582a193
590318,0xfbce1ae55c81ee949eae532309cc45c3d1ee4da8
590318,0x0eae89aa72e4bc042ec64caec887329ae5241eb6
590318,0x7c558b947df8f9d7707dcd7ee2d98ac0eadddc50
590318,0xf56f2cda4deecf5a176bf059903d58fb4eb8a562
590318,0x7c39cc68b54d1947eac5bb374000b4dbff657f2d
590318,0x06cc8bc0956f8667edd60064c4b29ba34b0b0756
590318,0xcf9bebcce648a38d0d3a5221ce619e5539bbc043
590318,0xcf8162e88b7f183a61dab42ab91d13d169b9c793
590318,0xcf5ade9e998088f12a07e4c16d80c9265951806b
590318,0xcf3c7b24cc00738f658e36768f599f9232d3f2b6
590318,0x733246bcee1d39f3cae699a1f1cffc97d67d2e57
590318,0xced17111c152c337447f840e2f919163a59b34b5
590318,0x3a5e2485fa5b79885526f5b85de709aa5a2a7df1
590318,0xcde0d27ce24a86aeda055459bfdcd54e67a0a1c2
590318,0xcdb31907eb44e4918131401ca01e1a0db1dcb9c8
590318,0xcd90574bc2ef39bcebbc5561c1c9d8e42110c239
590318,0x72e44b2bfcf28755b5c1d54442f18e2daec5b561
590318,0x3a0b6f379595bf4dac08aad904ca9ad3b6d7c930
590318,0x39f5cc2eb5493bdab6f6bb36301ae3cd1ad7bec4
590318,0x72b06abcafb335c5efe0c85a609ff9e3a6e8e8bc
590318,0xcb6cd9fc63662d4c0f679c11e4b508468833d39f
590318,0xcb22a9f3acade585082f84ada2df417d110588f9
590318,0xcafd2888b2b57f3acb220be780624e796cc67249
590318,0x727a6e5bef1ce3e85271a7a2b8de7bb4e3ff3eab
590318,0x1ff125d808990000dc087db80d06d2383b50c730
590318,0xcfef4dd0b7701ee8fe47eaacbc81531e6c84c346
590318,0xcf3b66a02bcf4f96234cf976178a2a7af4ff4cc8
590318,0xcf13fae6690c07cbd471574b68e504319ee0882d
590318,0xcefb571587c50e157e2a264f9a0ffc34e89c9595
590318,0xce629009309c3ca05df55b9d54005aeaa0a4c18a
590318,0xcdc4d788915057ed1bd37ed14c54d68dc35fb25d
590318,0xcc95243658b8de2535549f4bb975f8e858e53b67
590318,0xcc61f82d8ead45a4a2fc24de1447348505062f67
590318,0xcc2a855946a3c20683858fe6ee15acf8b836f0b3
590318,0xcb8b61f411377d24516a37aed98fd112612fbd5e
590318,0xcae798c0c6958df8299df4f13726da433b8ba7ba
590318,0xca5342dd54c487e9a5a2abf00215f10ae7df47b8
590318,0xca07aec496d7987ad2446674c342496e61a9a480
590318,0xc9a72cefae4df5114203b14f81b77089aff32550
590318,0xc99abbe01c0c98c794a7b934957a5f8a3e25a14d
590318,0xe2f638df335562cb3a68581d5da12377eac877a8
590318,0xffb0a17e69cb382175503cfe0b029b179658a06a
590318,0xc967670cffcb97d0a20dcbc27316685e8d026ec1
590318,0xe2ca7390e76c5a992749bb622087310d2e63ca29
590318,0xc95c558daa63b1a79331b2ab4a2a7af375384d3b
590318,0xc94aa01022625e912d5957aee1d42e62fd9422f3
590318,0xc92ead7835461c80e2380789b6f8fa55dba1f15a
590318,0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3
590318,0x01574c9e5581b522c8a844e0c09204090bf704ec
590318,0x02001e2ec51e14d551bc450082e87ba31320859c
590318,0xc9143d02ea7188605156c75ee230e368fd537b66
590318,0x7170f05085d2a57cb2fe713e2c2ffc2f3a885e82
590318,0xc8cabb9007872426a0425f2a8cf57089f0e980ed
590318,0xc8b0d32bc09fb11c12c82582825c1e6b624822b8
590318,0xc8f42217b6b1768012b4431f922be0759fed7397
590318,0xc8e0345596d7196941e61d3ab607e57fe61f85e7
590318,0x393ff6337611cd55710e5057e6a73e13c6e32a3f
590318,0xc8656b0c5e79bf06386148b065a8af417b508371
590318,0xc85c8bd2b180427ae361899629749666f8ba34d2
590318,0xc846e513f1fb448e744d5c8e911e87bccc0dfb20
590318,0xc83b8d5906a5f51bd0ab0e2256f5a1f055bacb35
590318,0x1f2429fb6ea7923d447223cd4177b3be487a7c47
590318,0xc824dc2f93877baa2e451e1a1535b09cb3e9d1e6
590318,0x06a43d78de87f65255974ace2fcbe8db37e71000
590318,0xe18835767560ffbd17a57a0e48173bc336813648
590318,0xc7b7c5b3ee6dc4c9b28c9cfc5d82eee5da590bb0
590318,0xe21b1d386cfd9b799840030301897853e8b9372e
590318,0xc7d47d1f5357ae5e61bca9c6d287df6c5115c415
590318,0xc7a0d765c3af6e2710ba05a56c5e2ca190c2e11e
590318,0x391b3dd314563bd3642048efd5a4854c547ca138
590318,0xc743b635f767244c5bdede3f3e1e7d4c1ace5f4d
590318,0xc70084445c4d24809c72b91e62b1168c727508ca
590318,0xe1069dbf4836f398d8233a6613b7fecc21b6be0d
590318,0x390fc2a93d5244e4017cc0bef710708efb65bfdc
590318,0xc6e4ad3ccdfc65687d2d60a454a8bddc1f4d6c06
590318,0xc6a391c617bb17426eca29f95317ea9563ce04ca
590318,0xc67ea816eb69722172a28946b29da3901981e684
590318,0xc659fd78a395d70ec69ff034b4378a712e7edb64
590318,0x1ebe5a5e9b739755b5855f6ee4367ee47127d8c5
590318,0x0b598c08f0ff34afa51e3526de240c71e494c923
590318,0xe13d7fc3c7b8c538dea1178a7f81bc26942de639
590318,0x38daea6f17e4308b0da9647db9ca6d84a3a7e195
590318,0xc5fc435fc07bf9c1859cff3aad73ab31cacfd2f8
590318,0xc5e2b8f0e92fbb2095a13942482050af0b836fef
